,round,model train acc,model train loss,model test acc,model test loss
0,0,0.1230595453413045,1.6234090496821876,0.12703846880355604,1.623572551484404
1,10,0.3252368112263993,1.5817403581611618,0.32163303739824345,1.5812845505590942
2,20,0.42843424897080307,1.5624740256677772,0.42594072601670946,1.5617354198405207
3,30,0.5243945611771641,1.531062061190806,0.5274079101799596,1.5298681179631344
4,40,0.5533391283642817,1.509808981902684,0.5585867131713336,1.5083204507025223
5,50,0.565837080924082,1.4967669934711942,0.5712610935445727,1.4951006465809025
6,60,0.5751703911080621,1.4809549674070277,0.5818810781867332,1.4790643914836816
7,70,0.5783370020986518,1.475098785927554,0.5843080910226722,1.4731295973782061
8,80,0.5890289625064394,1.4527290275271336,0.5970927623230814,1.4504586529339967
9,90,0.5950580281330523,1.43969790036823,0.6043806303532158,1.4372508978332255
10,100,0.5990064951864978,1.4313180084644959,0.6065165233822881,1.4287647357524407
